	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
PL25	8	436	33	45	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	18	8	0	7	0	0	35	0	0	8	25	5	68	0	0	0	0	3873	454	3488
PL26	92	1880	94	701	3	1483	31	540	72	562	7	520	12	17	13	25	0	6	0	4	1	38	7	9	14	5	269	1	0	10	0	0	19	21	8	6	0	9	11	0	5709	2269	10275
PL27	1	16	15	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL28	1	24	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	3	4	3	0	0	0	0	0	8	0	0
PL29	51	307	50	39	25	0	8	0	0	20	0	17	72	66	73	102	0	3	0	0	24	6	68	61	38	37	119	35	10	61	324	11	213	57	277	78	0	0	0	0	7796	1674	6966
PL3	0	28	0	0	0	23	30	0	0	260	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	12	0	48	0	0
PL3_1	2	154	2	37	0	0	4	1	0	37	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	5	0	147	0	0	0	0	0	0	0	0	5	0	0
PL3_2	84	1227	126	820	8	161	86	355	62	183	15	591	60	51	15	146	18	90	2	11	3	35	28	91	57	36	555	2	0	2329	3628	12	129	273	584	568	11	25	0	1854	9162	1620	10627
PL3_4	0	0	0	0	0	4	19	6	0	348	28	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
PL3_5	2	22	0	8	0	9	21	0	5	4	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL31	9	222	11	19	0	33	37	0	0	153	40	10	4	5	4	29	0	14	2	0	6	15	0	0	0	0	135	0	0	13	0	0	6	22	2	634	132	22	0	0	72	11	124
PL33_1	138	920	142	246	31	1591	88	309	65	1057	56	213	5	0	2	16	0	7	365	6	64	16	138	110	188	8	128	29	0	16	0	0	55	6	128	799	0	0	10	180	4504	2042	5205
PL33_2	7	19	0	21	0	434	5	20	0	6	0	8	0	4	1	9	0	0	0	5	0	4	8	4	0	0	16	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	11
PL34	0	0	0	0	0	683	5	22	0	0	78	100	0	0	0	0	2	0	307	0	0	0	0	0	0	0	10	0	0	0	0	0	29	4	65	1035	36	0	0	0	5217	1561	8892
PL35	744	6293	328	1793	250	2550	379	120	65	1102	41	643	174	146	44	239	84	878	84	47	130	130	73	304	265	154	1020	36	89	441	6277	227	615	1297	662	2561	384	51	90	120	1605	1311	1359
PL36_2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL37	0	71	31	5	0	0	0	0	0	0	0	0	0	0	0	0	0	69	272	0	0	0	0	0	0	7	18	0	0	6	0	0	0	0	11	0	0	0	0	0	6119	702	4842
PL38	193	563	32	778	0	427	20	8	12	66	52	499	20	14	8	117	52	115	792	33	19	246	10	97	67	35	90	0	64	216	44	95	254	66	721	653	464	31	48	0	5958	2391	6065
PL39	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	15	5	1	0	0	0	0	0	16	12	34
PL4	34	310	66	76	29	0	0	0	0	28	0	308	0	3	1	0	0	0	0	6	6	2	0	7	1	1	205	1	0	10	0	0	2	4	7	5	0	0	0	0	15	0	0
PL4_1	0	68	4	38	0	35	3	1	0	135	7	67	5	1	0	60	0	0	0	0	0	12	6	8	8	4	65	0	0	3	0	10	2	2	9	28	0	0	0	0	0	0	0
PL4_2	114	269	152	73	8	2014	2256	1186	8	242	0	597	125	57	134	1392	5923	3363	1748	1989	2011	1552	1819	5	4	4	139	70	1019	1316	316	191	45	40	62	264	1467	221	140	147	119	190	49
PL4_3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	41	0	0	0	0	0	0	0
PL4_4	7	109	8	27	0	0	0	0	24	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL40	10	138	61	21	0	0	6	0	0	0	4	97	0	2	0	0	0	62	378	0	0	0	0	2	1	8	14	0	0	11	0	0	16	5	3	19	0	0	6	0	18189	2126	14286
PL41	0	5	0	9	0	0	6	0	0	0	0	0	0	0	0	14	0	0	0	3	4	8	3	0	0	0	41	0	6	15	7	0	0	24	11	28	0	0	0	0	0	0	0
PL42	155	2832	1005	175	0	120	8	22	10	232	14	390	14	37	12	46	13	29	179	54	41	603	120	79	98	60	521	2	34	210	0	18	81	41	44	218	0	0	18	0	2927	418	1922
PL5	34	371	44	46	0	3179	2	4	0	42	0	0	2	1	0	0	0	8	0	0	0	0	4	3	0	0	42	0	2	24	79	0	2	10	0	0	0	0	0	0	48	0	0
PL5_1	21	137	2	506	0	0	0	0	0	75	0	73	0	0	0	0	0	20	51	0	0	0	0	0	0	0	0	0	0	151	6024	0	0	0	0	0	0	0	0	0	614	24	6
PL6	109	446	133	12	1	31	9	0	5	96	0	212	13	10	5	64	0	6	43	6	11	27	16	75	56	46	82	160	0	98	1406	183	226	31	740	2525	966	13	26	0	2453	2471	2551
PL6_1	1042	2300	316	164	1	76	14	0	6	52	0	245	45	67	32	243	0	0	0	0	7	177	16	215	108	63	103	0	0	77	238	20	444	139	442	2069	113	163	2	19	9770	4006	6638
PL6_2	13	484	11	12	0	4	3	4	0	0	0	0	2	7	0	20	0	0	0	0	0	7	5	46	25	10	45	0	0	4	26	0	49	37	23	29	0	74	0	0	377	567	270
PL6_3	2	295	26	0	0	34	0	0	0	0	8	8	6	5	8	0	0	7	0	26	27	34	12	106	85	40	141	0	0	4	0	16	35	54	12	330	0	0	8	0	0	0	16
PL7	274	848	116	1225	10	31	19	21	5	108	0	374	64	68	24	145	5	46	44	15	12	32	5	161	125	80	326	0	24	315	6357	36	250	205	711	6257	1330	126	66	232	1975	492	992
PL7_1	0	0	0	0	0	0	2	0	0	15	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL7_3	4	493	51	18	0	1207	39	3	0	10	0	83	3	4	7	0	0	13	4	0	0	292	0	18	26	10	57	5	0	41	10	0	103	33	210	2119	22	0	0	0	8977	3022	15950
PL7_4	1	716	23	38	0	24	80	27	0	178	0	128	55	49	19	215	0	61	10	16	54	59	25	214	190	110	728	22	34	148	0	106	265	133	471	984	0	60	0	0	748	4	122
PL7_5	301	13860	133	887	150	21	10	0	18	5	43	398	9	10	6	39	0	0	0	19	149	48	24	132	99	57	19	3	0	14	1392	53	116	54	1252	13196	2009	115	33	5	1542	4025	1241
PL8	1050	31072	910	4465	18	2022	107	58	94	671	24	1015	95	125	58	537	13	2100	212	94	172	535	209	1103	880	419	318	63	138	5633	25444	268	1022	239	334	879	350	109	185	170	5898	4762	6471
PL8_1	0	14	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL8_2	24	124	6	37	1	0	0	0	0	0	0	6	0	0	0	104	23	27	406	160	56	279	225	3	1	0	4	41	0	8	13	8	18	5	505	90	0	18	0	387	20185	2778	17850
PL8_3	22	423	178	218	0	81	29	3	0	97	3	69	0	0	0	31	108	515	115	8	8	15	11	2217	1713	325	30	0	0	83	2946	5	87	4	69	167	54	4	0	0	4549	1529	3102
PL9	60	1378	38	270	1	0	5	12	26	32	0	389	49	17	0	47	0	71	44	0	2	261	1	27	25	16	178	0	74	67	640	0	90	24	29	181	0	0	0	0	147	5	99
PL9_1	4179	10923	1083	5935	737	13366	268	2255	731	1848	150	1702	5	16	1	288	0	1192	1	51	521	438	378	93	63	32	339	26	34	108	2183	928	443	2546	282	102	85	64	39	38	0	131	8
PL9_2	65	889	97	47	0	8	18	2	0	11	0	77	5	14	3	21	3	0	0	2	2	317	8	57	47	31	160	6	6	81	133	15	64	23	62	144	32	0	1	0	324	191	183
PL9_3	5	1052	48	10	0	89	108	98	0	823	99	36	32	12	5	110	12	34	0	3	9	9	4	105	86	30	572	7	88	132	5	21	180	130	223	453	0	8	7	0	1437	590	1318
PL9_4	2	273	12	31	0	0	9	0	0	0	3	29	2	11	2	24	0	116	3	1	2	17	9	26	25	6	173	8	135	102	0	0	71	24	29	102	0	0	0	0	8	26	56
Unclassified	5929130	56206969	4924830	15319376	1602360	33198869	4323870	4405347	1630358	9361806	1603168	8030691	2312467	2248164	1192430	7321311	1334374	9548040	4785861	1790889	2446125	4031598	3266688	11078487	8466733	4019832	15137480	2213504	2384041	15624249	58780916	4595744	12221435	14912804	11333059	30413840	5494652	1541257	5669069	6191069	49697240	27774373	53066642
