	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
Gloeobacterales	0	10	4	372	0	0	8	0	0	4	0	75	21	15	4	14	0	0	0	0	0	0	0	8	2	4	489	2	10	34	0	0	9	6	17	0	0	0	0	0	10	0	0
Gloeoemargaritales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycomycetales	0	58	4	30	0	6	22	10	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	44	0	0	10	4	0	6	0	0	0	0	0	0	0
Halanaerobiales	13	123	4	184	0	60	0	0	9	0	115	20	4	2	0	23	0	0	0	0	0	6	4	6	27	10	63	35	0	0	0	0	3	2	0	0	0	203	0	0	34	55	291
Haloplasmatales	0	0	0	46	0	25	20	58	17	8	0	0	0	12	0	118	0	0	0	4	0	4	4	101	111	37	4	106	0	0	0	0	52	0	85	0	0	0	0	0	32	10	0
Halospina (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	18	12	0	0	0	0	0	0	0
Herpetosiphonales	0	9	0	15	0	2	0	30	0	26	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	60	32	0	6	0	0	8	13	10	6	0	0	0	0	10	0	0
Holophagae bacterium (no order in NCBI)	0	53	6	0	0	0	0	0	0	0	0	0	3	6	7	0	0	124	4	0	0	4	4	6	0	0	501	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holophagales	130	781	33	18	12	6	6	2	0	0	6	77	192	171	85	638	0	114	12	18	11	165	44	132	88	68	3037	38	66	129	0	62	209	279	124	275	6	14	2	0	69	188	2575
Holosporales	0	33	0	19	0	30	2	4	0	0	0	23	0	6	2	0	0	0	0	0	2	2	0	0	0	0	192	1	28	21	0	0	4	6	6	31	0	0	0	0	0	2	22
Hydrogenispora (no order in NCBI)	0	44	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenophilales	0	28	0	9	0	0	0	0	0	0	0	0	27	26	6	0	0	28	2	0	0	0	0	2	9	2	680	150	0	0	0	0	27	15	20	46	0	0	0	0	0	0	24
Hyphomicrobiales	91303	2521062	242093	77644	122702	366149	194485	70888	8863	1176956	28989	123389	182557	101324	63789	48655	15856	30179	8465	58366	33622	192765	64009	219646	204858	83813	701267	31012	217243	479964	2716	5595	200662	279181	185757	628141	2983	3798	13222	122	467356	140064	110176
Hyphomonadales	80	1849	105	140	48	87	16	6	22	121	4	311	332	320	114	1082	109	50	30	114	246	463	243	1494	1234	737	1016	81	448	517	43	210	1833	555	1669	1718	40	780	30	0	2063	4559	9353
Ignatzschineria (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2903323	0	0	0	0	0	0	0	0	0	0	0	0
Ignavibacteria bacterium (no order in NCBI)	0	0	14	6	0	0	0	0	4	0	0	0	52	100	14	26	0	0	0	23	11	27	2	65	54	38	24	0	0	3	75	0	160	122	16	0	0	0	0	0	30	0	0
Ignavibacteriae bacterium (no order in NCBI)	4	8	0	8	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	6	8	4	8	0	50	298	0	0	3	3	0	0	0	0	0	0	0	0	0
Ignavibacteriales	54	294	62	42	6	4	2	0	53	51	4	24	29	47	14	224	0	44	6	7	17	148	16	6	3	8	165	0	10	35	9	10	40	21	54	220	10	16	0	0	30	34	70
Immundisolibacterales	0	10	4	0	0	0	0	0	0	58	0	6	11	13	0	3	0	2	4	0	0	0	0	48	25	22	172	6	0	0	0	0	8	2	0	27	0	0	0	0	0	0	0
Iodidimonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	12
Isosphaerales	20	318	17	271	2	129	102	28	8	147	101	1825	67	21	19	103	0	57	4	4	3	31	4	201	167	87	2142	273	403	556	0	12	224	269	149	680	0	0	8	0	412	8	132
Jatrophihabitantales	0	110	0	2	0	26	68	20	0	30	5	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	42	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Jiangellales	98	10770	505	9	273	98	221	93	0	162	57	30	1129	471	351	1533	8	0	0	353	134	880	123	2246	1702	865	341	0	1190	2612	0	26	220	253	2414	837	0	0	0	0	68	8	63
Kallotenuales	0	35	0	0	0	2	0	285	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	22	0	0	16	14	8	0	16	0	0	0	0	0	0
Kiloniellales	18	3101	24	60	0	0	10	0	0	0	6	20	24	19	8	0	0	0	0	3	0	6	4	11	17	15	50	0	8	54	0	0	50	25	50	7172	6	0	0	0	42	18	201
Kineosporiales	47	2322	111	161	98	10744	4510	1225	46	12098	7827	52	104	63	16	42	8	1126	4	24	22	134	10	22	33	7	986	6	74	254	0	0	58	512	92	67	0	4	79	0	238	35	12
Kiritimatiellae bacterium (no order in NCBI)	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	12	0	0	0	0	0	6	6	12	6	0	0	0	0	0	0	0
Kiritimatiellaeota bacterium (no order in NCBI)	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	0	0	0	0	0	0	10	9	0	12	0	9	0	0	0	0	0
Kiritimatiellales	928	19728	944	141	56	8	0	0	120	0	0	15	344	265	180	704	0	122	8	48	42	132	28	821	560	350	1072	12	122	268	0	14	610	402	1387	4993	10	4655	4	0	117	7	45
Koleobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
Kordiimonadales	4	114	16	8	6	0	0	0	0	0	4	8	58	77	19	218	0	12	0	23	23	20	15	204	140	94	149	11	56	34	18	78	311	95	225	333	0	128	2	0	21	0	24
Kosmotogales	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	102	30	34
Krumholzibacteria bacterium (no order in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	26	13	24	53	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ktedonobacterales	2	183	69	30	8	12	48	105	0	14	0	0	19	8	2	8	0	0	0	2	0	30	2	25	19	19	189	4	38	72	0	4	16	16	17	1669	10	0	6	0	69	22	24
Ktedonobacteria bacterium (no order in NCBI)	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillales	4693	3700	4577	8185	221	21847	12125	349702	16750	28583	21739	16350	9214	7678	9944	12697	29036	40466	24621	36172	29728	32443	34454	8638	8118	7704	4976	4195	1774	2655	45426	8845	2671	3746	3554	5762	3757	2552	21763	3164	4105	2309	13736
