	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
Unclassified Candidatus Sungbacteria	0	0	0	10	0	0	0	0	0	0	0	16	12	4	2	0	0	0	0	2	4	6	2	0	0	0	28	0	0	8	0	0	22	0	0	0	0	0	0	0	24	0	0
Unclassified Candidatus Tagabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Unclassified Candidatus Taylorbacteria	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	9	2	0	0	0	0	6	0	0	0	0	0	12	8	0	0	0	0	0	0	0	0	0	0	28	0
Unclassified Candidatus Tectomicrobia	13	592	27	11	0	22	284	2	0	0	82	730	28	16	12	200	0	25	2	0	4	4	0	70	63	22	298	2	90	173	0	0	70	33	99	1720	12	24	6	0	117	6	101
Unclassified Candidatus Termititenacia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Candidatus Terrybacteria	2	50	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	8	0	8	0	0	0	0	0
Unclassified Candidatus Thermofonsia	0	66	4	6	0	175	160	166	0	0	0	0	4	8	0	126	0	0	0	0	23	0	12	2	0	2	95	0	38	33	0	0	8	4	29	65	0	0	0	0	0	0	123
Unclassified Candidatus Uhrbacteria	21	390	6	39	0	10	0	0	0	17	0	0	20	20	10	18	0	10	0	0	17	14	4	10	8	16	121	42	0	6	0	0	184	9	10	88	2	8	6	0	38	40	12
Unclassified Candidatus Veblenbacteria	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Candidatus Vogelbacteria	1	72	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	8	0	0	0	0	0	22	43
